cell_id,lat_c,lon_c,rate_mc_yr,rate_all_mc_yr,rate_m5.0_yr,rate_all_m5.0_yr,p_1d,p_all_1d,p_7d,p_all_7d,p_30d,p_all_30d,p_90d,p_all_90d
9043,37.375,35.875,1.1028229445102156,1.5141075426844814,0.012596023268189096,0.016180218608879856,3.4485437583220424e-05,4.42980430670481e-05,0.00024137309036409427,0.0003100450958622991,0.0010340459722123496,0.0013280880370978299,0.0030989312690740123,0.003978975000296203
24031,41.125,32.875,0.2370172668155556,0.40225022835371965,0.002707120868887278,0.00429856958422887,7.411665535195233e-06,1.1768772867126742e-05,5.188050517224152e-05,8.237850154291237e-05,0.00022232607194749843,0.00035300294338613813,0.0006668299401849653,0.0010586350409123035
24036,41.125,34.125,0.23599749815186205,0.27748358393874817,0.0026954734599536905,0.0029652748711258537,7.379776903349011e-06,8.118447185179178e-06,5.165729465417268e-05,5.68277462222877e-05,0.0002213696181503355,0.0002435247472331037,0.0006639618517754187,0.0007303963432337968
21048,40.375,37.125,0.25853020108427827,0.3039752716278688,0.0029528334032199763,0.0032483731888108516,8.08438457844396e-06,8.89352154431755e-06,5.6589319564981366e-05,6.225298984541272e-05,0.00024250310908480177,0.0002667712429788027,0.0007273329182415633,0.0008001002472334262
6003,36.625,25.875,0.7991151332509259,1.0807380797016861,0.009127188423578769,0.011549099317946041,2.4988567790318328e-05,3.16192107605584e-05,0.00017490686207954909,0.00022131348116583016,0.0007493854706436265,0.0009481415492306189,0.0022464720970188923,0.0028417285828526984
16010,39.125,27.625,1.5930304689688877,2.6448824322323254,0.018194986741936092,0.028264026657202058,4.981391801883728e-05,7.737969366794495e-05,0.0003486453205030493,0.000541532131934086,0.001493338621755269,0.0023187880767453484,0.004473329014783256,0.006940246363410396
28018,42.125,29.625,0.023864259593238187,0.023864275606149763,0.00027256847584725656,0.00025502098455005575,7.462515376754908e-07,6.982091594887052e-07,5.223749069194206e-06,4.887453879387493e-06,2.238730388492982e-05,2.0946062726734382e-05,6.716040809195967e-05,6.283687197672361e-05
5006,36.375,26.625,1.360465467976148,1.8335617628778835,0.015538717956041392,0.019594004599995284,4.2541786259508996e-05,5.3644022025123306e-05,0.00029775450063607156,0.00037544772827569073,0.0012754666357279731,0.0016080694959935693,0.0038215215367156663,0.004816454983755714
12010,38.125,27.625,0.8272211205339136,1.2694459851515782,0.009448204296121365,0.013565690000791188,2.586743900112598e-05,3.714014533440224e-05,0.0001810580220014124,0.00025995205193540816,0.0007757321711806542,0.0011136045331541222,0.002325391699142809,0.0033370946352914155
7011,36.875,27.875,1.9427639701699242,3.6735331174547787,0.022189509471738336,0.03925650406707233,6.074972063430106e-05,0.00010747267495836432,0.0004251705511866266,0.0007520662102578068,0.001820887148978545,0.003219160871476001,0.00545272059429569,0.009626426984432168
31,35.125,32.875,0.2529034490802044,0.290403865058461,0.0028885667867876155,0.003103344966618866,7.908433579117968e-06,8.496459364515374e-06,5.535772166098685e-05,5.9473699586587436e-05,0.00023722580303509044,0.00025486238085214996,0.0007115085942104304,0.00076439229461156
15032,38.875,33.125,0.22449378005041432,0.4281076319057066,0.002564082377098702,0.004574889746657622,7.020050313721882e-06,1.2525287051867728e-05,4.913931730510246e-05,8.767371489271092e-05,0.00021058007353547126,0.00037569037550833073,0.0006316071980423388,0.0011266477497765548
1010,35.375,27.625,2.2555586698282895,3.1626392505455008,0.02576213129165595,0.03379693516625834,7.05303840505822e-05,9.252668468984204e-05,0.0004936082353964588,0.0006475070356162238,0.002113749022556566,0.002772079638258762,0.006327852706971671,0.00829320694005331
7032,36.875,33.125,0.05568721104078233,0.06438849800171999,0.0006360380961440482,0.0006880752814414542,1.7413758859330386e-06,1.8838456764536105e-06,1.2189567521803113e-05,1.3186845209123277e-05,5.2239957511135415e-05,5.651382656057802e-05,0.0001567116856364681,0.00016953189842439098
19045,39.875,36.375,0.10484698861674362,0.12449202181525294,0.0011975223355573071,0.0013303600115886789,3.278632094261269e-06,3.6423205715951923e-06,2.2950198923288312e-05,2.5495965406574506e-05,9.835428697035908e-05,0.00010926384641796183,0.00029503384116524867,0.00032775572479404325
